k,n0,r,t_mid,t_gen,sigma,note,strain,carbonSource,maxOD600
0.00559810370488713,9.252496667101264e-4,0.2752957677035337,5.8826247476622,2.517827231206824,0.003521561314415305,,Day0Anc,"1,2-Propanediol",0.012700006999999985
0.24811640499644144,0.023320620387533096,0.17888356263671043,12.666643979683212,3.8748511620804327,0.01204025547781349,,Day0Anc,2-Aminoethanol,0.26409998599999995
709085.3497937624,0.009288470233270077,0.0035324247454785965,5138.315429579592,196.22418890796018,0.006880052352860155,,Day0Anc,2-Deoxy-D-Ribose,0.028300002217292508
0.03805526111651236,0.0030089798316518097,0.18964620176758332,12.945518510693217,3.6549489211991517,0.0025482143253036976,,Day0Anc,2-Deoxy Adenosine,0.005400001999999987
0.020465187633287283,0.006738736145792096,0.06845649460984986,10.392766223096048,10.125367717268594,0.003996173944042046,,Day0Anc,2-Hydroxy Benzoic Acid,0.012900009751319996
0.005757946031071836,0.0016553070846271856,0.9707888728774596,0.9349549590559921,0.7140040434388453,0.003784684899140637,,Day0Anc,"2,3-Butanediol",0.017899990081787
0.017060763438028814,0.003459254865398923,0.10538579491773815,12.991575411669405,6.577235395918405,0.005087742395191891,,Day0Anc,"2,3-Butanone",0.02420000731944999
0.020600005984307,0.00664025633906804,0.1809916747562737,4.105313663887257,3.829718585086018,0.003960567945675606,,Day0Anc,3-0-beta-D-Galactopyranosyl-D-Arabinose,0.02549999952316251
0.010458805383594208,7.134564731503168e-4,0.37569231184165985,6.9589499241307,1.8449863324647449,0.003917130289133524,,Day0Anc,3-Hydroxy 2-Butanone,0.008200004696846008
0.022234755968367225,0.003766399225282376,0.08537765859553947,18.622429041080824,8.118601422927268,0.0033954281469184286,,Day0Anc,3-Methyl Glucose,0.02359999716281902
0.30112354855149476,0.02717950679438452,0.30513385983932645,7.571957425266583,2.2716167288839526,0.019754310951657746,,Day0Anc,4-Hydroxy Benzoic Acid,0.34099999070167497
0.006021071328632083,4.5337592798313997e-7,0.9164293413775294,10.359749943473403,0.7563563815165959,0.0032984609396373714,,Day0Anc,5-Keto-D-Gluconic Acid,0.006699994206429
0.08103020474507468,0.014214775497211613,0.12371698713817457,12.509616624446359,5.602683969225639,0.006305483468922441,,Day0Anc,a-Keto-Valeric Acid,0.09184999763965601
0.05201933876922225,0.0067179747359176955,0.021207398103700863,89.99455771452446,32.68421600662957,0.002874698884564796,,Day0Anc,a-Methyl-D-Glucoside,0.021699994802475003
0.015749998390674494,0.017822365691471713,0.009256221195934923,-232.46663461516047,74.8844659054125,0.006778686802172629,questionable fit (k < n0),Day0Anc,Acetamide,0.03760001063346799
0.13047748604462905,8.334699067084659e-4,1.139941979838908,4.427374487810114,0.6080547894708623,0.029478643314357664,,Day0Anc,Acetic Acid,0.188800008
0.017200008000000017,0.024006705139365255,0.10669897960773499,-11.81291682282804,6.496286872734972,0.008584677995041427,questionable fit (k < n0),Day0Anc,Acetoacetic Acid,0.030599997000000018
64977.627618521394,0.001292607001352228,0.07463006220360109,237.61058110252858,9.287774391356452,0.004993497371597909,,Day0Anc,Adenosine,0.046100006
0.019794228729968038,0.002012199132471075,0.07539959247137455,28.898831983044463,9.192983116229687,0.0014290222441395307,,Day0Anc,Adonitol,0.021699995
0.009311111365594022,2.5761930735656023e-5,0.21173332436060538,27.805236968968437,3.273680147672166,0.002745579559321648,,Day0Anc,alpha-Cyclodextrin,0.017200008034707004
0.4133567865023312,0.04477855652560632,0.18429777593838062,11.437596550107804,3.76101760876212,0.026223365804090255,,Day0Anc,alpha-D-Glucose,0.457200021
0.019932181792933625,4.4171225790407286e-4,0.09654500198295071,39.22546103511429,7.179524225214176,0.0021648296472135944,,Day0Anc,alpha-D-Lactose,0.01549999399999999
0.09760720752294565,0.014577219838110632,0.0676999759411017,25.69782028171804,10.23851442965026,0.004190624764037542,,Day0Anc,alpha-Hydroxy Butyric Acid,0.08300000499999999
998545.9123845372,0.0033349904496412348,0.07029688717552798,277.6416091278436,9.860282701127145,0.00629240957936127,,Day0Anc,alpha-Hydroxy Glutaric Acid-gamma-Lactone,0.10490000299999999
0.08436533483098221,0.00983349730968098,0.09180761442445157,22.061696581217113,7.549996641404245,0.0033035905112610087,,Day0Anc,alpha-Keto-Butyric Acid,0.08249999599999999
0.28368690618738884,0.012077858579009577,0.4271146055959315,7.288418049291611,1.6228599337941907,0.011536392230806328,,Day0Anc,alpha-Keto-Glutaric Acid,0.30550000099999997
0.08494112504517298,0.004462865760206346,0.03692672363454115,78.32257198769743,18.770882232063975,0.002968466373229172,,Day0Anc,alpha-Methyl-D-Mannoside,0.022599995136260986
0.027919958353028854,0.002062673766551786,0.06960786544346599,36.326200512023256,9.957885881774445,0.0015660100010207955,,Day0Anc,alpha-Methyl-D Galactoside,0.026199997000000003
0.0160362985706304,0.001369568331883423,0.10952219174423422,21.649366561842402,6.328828610174667,0.002408226048826648,,Day0Anc,Amygdalin,0.02099999785423301
4072.3421251287327,0.0027167915317867298,0.030706231160758584,463.10719511274215,22.573502326972694,0.0021993848759447867,,Day0Anc,Arbutin,0.014749996364117002
0.046786174053124976,0.0015691386953722603,0.08373881678095635,40.136070299649006,8.277489546730482,0.0044939852351780635,,Day0Anc,beta-Cyclodextrin,0.04670000076294001
0.04405170944255525,0.0012450550022173347,0.08025213038395496,44.07999941842005,8.63711875614617,0.0034680513705193303,,Day0Anc,beta-D-Allose,0.037349998950958
0.25708736753363,0.028523601693368834,0.2596156797919823,8.016015680073107,2.6698972154352587,0.021241271192474123,,Day0Anc,beta-Hydroxy Butyric Acid,0.31359998881816803
0.0213450481746591,0.00543016806741679,0.06122855837615045,17.56181218039959,11.320651652480155,0.003035057245564082,,Day0Anc,beta-Methyl-D-Galactoside,0.021099999547004006
16621.24017889158,9.630626366196053e-4,0.044277941054412934,376.3460616187412,15.654458270951224,0.0022709864152314282,,Day0Anc,beta-Methyl-D-Glucuronic Acid,0.01329999417066502
0.006584405738497986,2.090398607719042e-4,0.40279037375680493,8.484988789357857,1.7208633217695783,0.003279544998047527,,Day0Anc,beta-Methyl-D-Xyloside,0.0066999942064280005
0.01731579175547031,0.0038102301823004533,0.057103318620631414,22.16004247989245,12.138474563359464,0.001585718148087744,,Day0Anc,beta-Methyl-D Glucoside,0.025899991999999983
0.10565581970503453,3.0003080346929617e-5,2.6450199750761767,3.087446642489077,0.2620574464810923,0.008800052572942488,,Day0Anc,Bromo Succinic Acid,0.132100001
0.24390206290057984,0.039622916239393145,0.1323258976326207,12.394246402378682,5.238182343446821,0.02089897961545522,,Day0Anc,Butyric Acid,0.265050008893013
0.33153357085285423,0.02698086051072624,0.11371562421317803,21.31383834760632,6.095443659180296,0.016777951718263587,,Day0Anc,Capric Acid,0.354100003838539
0.3412919223306834,0.03955053965234333,0.19057949910160807,10.662169710787918,3.637050070062319,0.01879146546025516,,Day0Anc,Caproic Acid,0.35519999265670804
0.0077817127076185095,8.891012125965579e-4,0.0910573398053614,22.491259292805562,7.6122054745018275,0.001773549536605016,,Day0Anc,Chondroitin Sulfate C,0.009100005030632019
0.08376181738684911,3.0762667856503074e-4,0.1369231751209638,40.92197084859193,5.062307238694906,0.003154299380726484,,Day0Anc,Citraconic Acid,0.06119999289512601
0.14882811080327205,4.61511846091069e-4,1.3444098235357491,4.294028269225271,0.5155772952751813,0.016668306272550244,,Day0Anc,Citramalic Acid,0.20270001888275102
0.22531079345372207,4.6162330571840137e-4,1.3195810528422647,4.689697450005382,0.5252782154358503,0.03403533603192638,,Day0Anc,Citric Acid,0.32800000900000004
